"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CROPYIELD","RICE","TONNE_HA","A","2022",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2023",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2024",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2025",0,
"CAN","CROPYIELD","RICE","TONNE_HA","A","2026",0,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1990",2.27687887921776,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1991",2.25590340718517,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1992",2.16036501151753,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1993",2.20012606364437,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1994",2.12741567191298,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.24670268907507,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1996",2.43028746175388,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1997",2.12853889276342,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1998",2.25496034530694,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","1999",2.59709270959274,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.44458672658691,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.94523596245396,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.83242064173317,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.25645895538444,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.64093770300418,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.73805270207003,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.60957673157254,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.33172781185999,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.85749088909333,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.7897292037308,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.80850037966263,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.9567962583694,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.86457971377721,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.59430727676754,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.10339899996726,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.88116816669575,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.5738857161669,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.18615096094355,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.25926860013874,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.27099621679095,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.28272383344321,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.29445145009535,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2022",3.3061790667474,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2023",3.31790668339944,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2024",3.32963430005157,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2025",3.34136191670371,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2026",3.35308953335576,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1990",4.58635197663518,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1991",4.24657101004165,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1992",4.5484985752826,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1993",3.31818793813379,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1994",4.90722694372029,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1995",4.59758640204922,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1996",4.74034597851592,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1997",4.65061443908599,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1998",4.50736257609621,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1999",4.64907718094804,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2000",4.85759322006454,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2001",4.80987221542732,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2002",4.7709917058785,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2003",4.23997117091652,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2004",4.64984126956791,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2005",4.81890035141741,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2006",4.59226066323506,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2007",4.71899820653204,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2008",4.91311493516207,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2009",4.72749014749215,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2010",4.72088329209331,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2011",4.8300837560387,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2012",4.8841480072812,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2013",4.87676172577381,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2014",5.01492571396731,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2015",5.19054980045215,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2016",5.3259044488954,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2017",5.17712665442734,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2018",5.33261602189984,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2019",5.34738516157342,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2020",5.36215430124697,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2021",5.37692344092057,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2022",5.39169258059409,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2023",5.40646172026759,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2024",5.42123085994103,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2025",5.43599999961446,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2026",5.44143599961199,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.65591397709066,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.17972350097205,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.53846153681191,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1993",3.47494553187639,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.71955233461517,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.9345670833215,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.01577286875976,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1997",3.63809523578534,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.51418002249434,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.45379146714823,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2000",3.75956283947565,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.55510411195779,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2002",4.0067665519542,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.0339302525759,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.03755868355044,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.08878504481832,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.83944953952319,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.33333333126984,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.21531100276779,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.2366778669051,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.75978733554384,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.52860519927725,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2012",4.10133843016188,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.86298762899002,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2014",4.00752586829373,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.71140309492661,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2016",4.17081375561762,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.19166782439644,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2018",4.21263118041636,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2019",4.23371055750578,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2020",4.2548772339242,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2021",4.27613495127886,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2022",4.29751582622695,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2023",4.31900208353785,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2024",4.3406060582616,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2025",4.36230282415991,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2026",4.38411613246224,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1990",4.50517904621762,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1991",4.45559660852447,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1992",4.60791349143537,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1993",4.18164449713671,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1994",4.58890557618039,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1995",4.44653687729465,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1996",5.07163219446398,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1997",5.17824676046748,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1998",4.81324869374251,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1999",4.93592683523345,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2000",4.93375004500027,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2001",5.09156006877401,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2002",4.67794482601573,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2003",4.38090902784555,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2004",4.99436053563976,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2005",4.86708712772494,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2006",4.89933932021543,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2007",4.63850881298201,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2008",5.17594996984546,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2009",5.31772224274015,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2010",4.81508596766467,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2011",4.94718343205241,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2012",4.71775447085894,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2013",5.08033148114934,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2014",5.20013218723098,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2015",5.41308247695447,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2016",5.38912003259276,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2017",5.33411156556671,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2018",5.36298511976976,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2019",5.39185867397258,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2020",5.4207322281748,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2021",5.44960578237669,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2022",5.47847933657824,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2023",5.50735289077923,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2024",5.53622644497946,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2025",5.56509999917903,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2026",5.59397355337809,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.02380849530323,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.09550387893041,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.36585160618805,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1993",2.71115124110581,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.70446671744558,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1995",4.43858112289874,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.91926788951317,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.0440694208885,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.4846936235646,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.66992800587554,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.54515750324728,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.10491769345162,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2002",3.22676973303265,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2003",3.05120380825347,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2004",3.32885012318433,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2005",3.2058453776265,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.34292270754185,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2007",3.81275913834237,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.06394648631046,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.70672974725222,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.11730950655635,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.34843603688718,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.90979186743644,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.58524342078878,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.26030636127707,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.62336241937909,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.41987835166802,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.44548475101061,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.47025638209986,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2019",3.49423341037833,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2020",3.51745346519474,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2021",3.53995183684079,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2022",3.56176165546556,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2023",3.58291405404292,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2024",3.60343831646516,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2025",3.62336201282564,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2026",3.64271112296267,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1990",2.66666666311111,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1991",2.71428571040816,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1992",2.85714285306122,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1993",3.2158468870937,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1994",2.80863091392702,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1995",3.08825711305823,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1996",2.99718246214803,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1997",2.7300629095178,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1998",2.9770906290288,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1999",2.9086574618461,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2000",2.96701545426039,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2001",4.2575847553722,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2002",4.50270445925559,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2003",4.5511242909724,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2004",4.46450657628368,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2005",5.06529210893034,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2006",3.14901955729153,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2007",2.73311114825876,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2008",2.93594236066773,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2009",3.19142041213499,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2010",3.41510541656192,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2011",3.35328370478719,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2012",3.6999849603369,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2013",3.56975791048858,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2014",3.7586472933951,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2015",3.82158256986497,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2016",3.88128718971789,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2017",3.82050568390377,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2018",3.8793339248675,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2019",3.93865661253937,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2020",4.00075717488852,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2021",4.06111179709941,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2022",4.12243947930351,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2023",4.18323022906892,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2024",4.24412589785975,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2025",4.30549603259747,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2026",4.36652399064358,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1990",4.2132904604273,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1991",4.12721924722152,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.95302342398333,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1993",4.0821082085326,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1994",4.30338222503832,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1995",3.73195018742171,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1996",4.17064122632989,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.73466243110092,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1998",4.20771964088843,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1999",4.63115131003662,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2000",4.93553185759337,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2001",4.76604922286213,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2002",5.09989159953189,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.49141190977012,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.47834001200019,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.75169410319769,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2006",5.22740927619592,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2007",5.0824028168491,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2008",5.08436565424384,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2009",4.96876240044864,
